Table C.4. Mortality Rates Used in our Forecasts for the 1975-80 Cohort.,,,,,,,,,,,,,,
,Non-Hispanic Black,,,,,Hispanic,,,,,Non-Hispanic White,,,
42,0.00666,0.0046,0.00294,0.00155,,0.00208,0.00181,0.00138,0.00069,,0.00696,0.00372,0.00235,0.00103
43,0.00712,0.00492,0.00315,0.00166,,0.00222,0.00194,0.00148,0.00074,,0.00745,0.00398,0.00251,0.0011
44,0.00759,0.00524,0.00335,0.00176,,0.00237,0.00207,0.00158,0.00079,,0.00794,0.00424,0.00267,0.00117
45,0.00705,0.00531,0.00326,0.0019,,0.00246,0.00241,0.00172,0.00096,,0.00776,0.00406,0.00266,0.00128
46,0.00752,0.00567,0.00348,0.00203,,0.00263,0.00257,0.00184,0.00103,,0.00827,0.00434,0.00284,0.00137
47,0.0079,0.00596,0.00365,0.00213,,0.00276,0.0027,0.00193,0.00108,,0.00869,0.00456,0.00299,0.00144
48,0.00822,0.00619,0.0038,0.00222,,0.00287,0.00281,0.00201,0.00112,,0.00904,0.00474,0.0031,0.00149
49,0.00846,0.00638,0.00391,0.00229,,0.00295,0.00289,0.00207,0.00116,,0.00931,0.00488,0.0032,0.00154
50,0.00876,0.0066,0.00404,0.00236,,0.00306,0.00299,0.00214,0.00119,,0.00963,0.00505,0.00331,0.00159
51,0.00916,0.0069,0.00423,0.00247,,0.0032,0.00313,0.00224,0.00125,,0.01007,0.00528,0.00346,0.00166
52,0.00967,0.00729,0.00447,0.00261,,0.00338,0.0033,0.00236,0.00132,,0.01064,0.00557,0.00365,0.00176
53,0.01032,0.00778,0.00477,0.00279,,0.0036,0.00353,0.00252,0.00141,,0.01135,0.00595,0.0039,0.00187
54,0.01115,0.0084,0.00515,0.00301,,0.00389,0.00381,0.00272,0.00152,,0.01226,0.00643,0.00421,0.00202
55,0.01113,0.00983,0.00632,0.00435,,0.00419,0.00453,0.00353,0.00215,,0.01164,0.00667,0.00496,0.00262
56,0.0121,0.01069,0.00687,0.00472,,0.00455,0.00493,0.00384,0.00234,,0.01265,0.00726,0.00539,0.00285
57,0.01313,0.0116,0.00746,0.00513,,0.00494,0.00534,0.00416,0.00254,,0.01373,0.00787,0.00585,0.0031
58,0.01424,0.01258,0.00809,0.00556,,0.00536,0.0058,0.00452,0.00275,,0.0149,0.00854,0.00635,0.00336
59,0.01544,0.01363,0.00877,0.00603,,0.00581,0.00628,0.00489,0.00298,,0.01615,0.00926,0.00688,0.00364
60,0.01676,0.0148,0.00952,0.00654,,0.0063,0.00682,0.00531,0.00324,,0.01752,0.01005,0.00747,0.00395
61,0.01826,0.01613,0.01037,0.00713,,0.00687,0.00743,0.00579,0.00353,,0.0191,0.01095,0.00814,0.00431
62,0.02001,0.01768,0.01137,0.00782,,0.00753,0.00815,0.00635,0.00387,,0.02093,0.012,0.00892,0.00472
63,0.02203,0.01946,0.01252,0.0086,,0.00829,0.00897,0.00699,0.00426,,0.02304,0.01321,0.00982,0.0052
64,0.0243,0.02146,0.0138,0.00949,,0.00914,0.00989,0.00771,0.0047,,0.02541,0.01457,0.01084,0.00573
65,0.02187,0.02124,0.01449,0.01103,,0.01042,0.01104,0.00846,0.00643,,0.02309,0.01507,0.01256,0.00742
66,0.02408,0.0234,0.01595,0.01214,,0.01147,0.01216,0.00932,0.00708,,0.02543,0.0166,0.01384,0.00818
67,0.02638,0.02563,0.01748,0.0133,,0.01257,0.01332,0.01021,0.00776,,0.02785,0.01818,0.01516,0.00896
68,0.02873,0.02791,0.01903,0.01449,,0.01369,0.0145,0.01112,0.00845,,0.03033,0.0198,0.01651,0.00975
69,0.03118,0.03029,0.02066,0.01572,,0.01485,0.01574,0.01207,0.00917,,0.03292,0.02149,0.01791,0.01059
70,0.03395,0.03298,0.02249,0.01712,,0.01617,0.01714,0.01314,0.00998,,0.03584,0.0234,0.0195,0.01153
71,0.03704,0.03598,0.02454,0.01867,,0.01764,0.0187,0.01433,0.01089,,0.0391,0.02553,0.02128,0.01258
72,0.04014,0.039,0.02659,0.02024,,0.01912,0.02027,0.01554,0.01181,,0.04238,0.02767,0.02306,0.01363
73,0.04326,0.04203,0.02866,0.02181,,0.02061,0.02184,0.01674,0.01272,,0.04568,0.02982,0.02486,0.01469
74,0.04653,0.04521,0.03083,0.02346,,0.02217,0.02349,0.01801,0.01369,,0.04913,0.03207,0.02674,0.0158
75,0.03568,0.041,0.03007,0.02589,,0.02304,0.02535,0.02272,0.01867,,0.04046,0.03163,0.03104,0.02239
76,0.03896,0.04477,0.03284,0.02828,,0.02516,0.02769,0.02481,0.02039,,0.04419,0.03454,0.03389,0.02445
77,0.04243,0.04877,0.03577,0.0308,,0.0274,0.03016,0.02703,0.02221,,0.04813,0.03762,0.03692,0.02663
78,0.04606,0.05294,0.03883,0.03343,,0.02974,0.03273,0.02934,0.0241,,0.05224,0.04084,0.04007,0.0289
79,0.05006,0.05753,0.0422,0.03633,,0.03232,0.03557,0.03188,0.02619,,0.05678,0.04438,0.04355,0.03141
80,0.0545,0.06264,0.04595,0.03956,,0.03519,0.03873,0.03471,0.02852,,0.06182,0.04832,0.04742,0.0342
81,0.0599,0.06884,0.05049,0.04347,,0.03868,0.04257,0.03815,0.03134,,0.06794,0.05311,0.05211,0.03758
82,0.06686,0.07684,0.05636,0.04852,,0.04317,0.04751,0.04258,0.03499,,0.07583,0.05928,0.05816,0.04195
83,0.0757,0.087,0.06382,0.05494,,0.04888,0.0538,0.04822,0.03961,,0.08586,0.06712,0.06586,0.0475
84,0.08613,0.09898,0.0726,0.06251,,0.05561,0.0612,0.05485,0.04507,,0.09768,0.07636,0.07492,0.05404
85,0.07547,0.09378,0.07579,0.06626,,0.05787,0.06342,0.06701,0.05486,,0.09316,0.08454,0.09198,0.07271
86,0.08483,0.10541,0.08519,0.07447,,0.06504,0.07128,0.07532,0.06167,,0.10471,0.09502,0.10339,0.08173
87,0.09445,0.11737,0.09486,0.08292,,0.07242,0.07937,0.08387,0.06866,,0.11659,0.1058,0.11512,0.091
88,0.10429,0.1296,0.10473,0.09156,,0.07997,0.08763,0.0926,0.07581,,0.12873,0.11682,0.1271,0.10048
89,0.11444,0.14221,0.11493,0.10047,,0.08775,0.09616,0.10161,0.08319,,0.14126,0.12819,0.13947,0.11026
90,0.12501,0.15534,0.12554,0.10975,,0.09585,0.10504,0.111,0.09087,,0.1543,0.14003,0.15235,0.12044
91,0.13615,0.16919,0.13673,0.11953,,0.1044,0.11441,0.12089,0.09898,,0.16806,0.15251,0.16594,0.13118
92,0.14803,0.18395,0.14866,0.12996,,0.11351,0.12439,0.13144,0.10761,,0.18273,0.16582,0.18042,0.14262
93,0.16077,0.19978,0.16145,0.14114,,0.12327,0.13509,0.14275,0.11687,,0.19844,0.18008,0.19594,0.15489
94,0.17448,0.21682,0.17522,0.15318,,0.13379,0.14661,0.15492,0.12684,,0.21537,0.19544,0.21265,0.1681
95,0.18795,0.23355,0.18875,0.165,,0.14411,0.15793,0.16688,0.13663,,0.23199,0.21053,0.22906,0.18108
96,0.20094,0.2497,0.2018,0.17642,,0.15408,0.16885,0.17842,0.14608,,0.24804,0.22509,0.2449,0.1936
97,0.21321,0.26494,0.21412,0.18718,,0.16348,0.17915,0.18931,0.15499,,0.26318,0.23883,0.25985,0.20542
98,0.2245,0.27898,0.22546,0.1971,,0.17214,0.18864,0.19934,0.1632,,0.27712,0.25148,0.27362,0.2163
99,0.23455,0.29146,0.23555,0.20592,,0.17985,0.19708,0.20826,0.1705,,0.28952,0.26273,0.28586,0.22598
100,0.24506,0.30452,0.2461,0.21514,,0.1879,0.20591,0.21759,0.17814,,0.30249,0.2745,0.29866,0.2361
"Notes: The numbers in this table are mortality rates for racial/ethnic-by-education groups. Edu1, Edu2, Edu3 and Edu4 correspond to groups Less than High School, High School Graduate, Some College, and 4-Year College Graduate, respectively. The mortality rates are constructed as described in the text. Our primary results begin mortality calculations at age-35.",,,,,,,,,,,,,,
